item_id,condition,item,context_n,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,probe,filename,pos,modified
86,el,el51,4,Before,"exercising,",Jack,####,####,####,####,####,####,####,####,####,####,####,always,filler_el51,v,0
87,el,el53,9,They,placed,an,ad,in,the,daily,paper,####,####,####,####,####,####,to,filler_el53,v,1
88,el,el55,6,In,the,morning,he,forgot,####,####,####,####,####,####,####,####,####,to,filler_el55,v,0
89,el,el57,12,He,finally,decided,to,shingle,the,damaged,roof,that,the,storm,####,####,####,had,filler_el57,v,0
90,el,el59,8,Pam,weighed,herself,on,the,bathroom,scale,####,####,####,####,####,####,####,to,filler_el59,v,0
91,sol,sol1,5,The,housemaids,talked,to,####,####,####,####,####,####,####,####,####,####,the,filler_sol1,n,0
92,sol,sol3,12,The,doormen,ushered,the,student,away,from,the,building,and,pointed,####,####,####,to,filler_sol3,n,0
93,sol,sol5,12,The,constables,suspected,the,criminal,of,the,break-in,and,searched,in,####,####,####,his,filler_sol5,n,0
94,sol,sol7,9,The,neighbors,visited,the,professor,some,days,ago,####,####,####,####,####,####,to,filler_sol7,v,1
95,sol,sol9,7,The,audience,applauded,the,artist,for,####,####,####,####,####,####,####,####,the,filler_sol9,n,0
96,sol,sol11,12,The,girls,met,the,commander,at,the,party,and,heard,about,####,####,####,his,filler_sol11,n,0